id,variable_afectada,descripcion_problema,registros_afectados,porcentaje,dimension_calidad,dimension_complementaria,nivel_impacto,evidencia
P01,precipitacion_mm,"Celdas vacias en la precipitacion diaria. Impide construir acumulados de lluvia y correlacionarlos con el nivel de los embalses, que es el eje de la primera pregunta secundaria del proyecto.",765,5.89%,Completitud,,Medio,"765 celdas sin dato (5.89%), contadas con df['precipitacion_mm'].str.strip()==''"
P02,temperatura_c,"Celdas vacias en la temperatura promedio diaria, atribuibles a fallas de captacion de la estacion meteorologica.",534,4.11%,Completitud,,Bajo,534 celdas sin dato (4.11%)
P03,irca,"Celdas vacias en el IRCA, que es la variable objetivo del analisis de calidad del agua. Sin IRCA el registro no puede clasificarse por nivel de riesgo ni usarse para comparar territorios.",405,3.12%,Completitud,,Alto,405 celdas sin dato (3.12%)
P04,sistema_abastecimiento,"El texto 'N/A' se almacena como si fuera una categoria valida. No corresponde a ningun sistema real: son los registros nacionales y globales ajenos a la red de la EAAB. Al contarlo, 'N/A' aparece como la categoria mas frecuente y distorsiona cualquier agrupacion por sistema.",5279,40.64%,Completitud,Consistencia,Medio,5279 registros (40.64%) con el literal 'N/A'; value_counts() lo devuelve como categoria dominante
P05,"departamento, latitud, longitud, nivel_servicio, decision_racionamiento, nivel_almacenamiento_pct, afluencias_m3s, consumo_m3s","Bloque de ocho variables vacias de forma simultanea en los mismos registros. Corresponden a las filas de tipo_region='Global', que describen paises y no tienen departamento, coordenadas municipales ni embalse asociado. Es una ausencia estructural del diseno, no un error de captura.",141,1.09%,Completitud,,Bajo,"141 registros (1.09%), cifra que coincide exactamente con los 141 registros de tipo_region='Global'"
P06,tipo_region,"Completitud de alcance insuficiente en el nivel global: representa apenas el 1% de los registros frente al 59% del nivel regional. La comparacion entre las tres escalas, que es una de las preguntas secundarias, se apoya en una base muy desigual y sesga cualquier modelo hacia el comportamiento de la Sabana de Bogota.",141,1.09%,Completitud,Representatividad,Medio,"Regional 7710 (59.36%), Nacional 5138 (39.56%), Global 141 (1.09%)"
P07,Registro completo (las 20 variables),"Filas identicas repetidas. Inflan artificialmente los conteos por municipio y por fecha, y sesgan todo promedio calculado sobre el conjunto.",63,0.49%,Unicidad,,Alto,df.duplicated().sum() = 63 (0.49%). Por la llave fecha+municipio+sistema: 63
P08,nivel_almacenamiento_pct,"Porcentajes de almacenamiento superiores al 100%, fisicamente imposibles: un embalse no puede contener mas que su capacidad total.",135,1.04%,Validez,,Alto,135 registros (1.04%) con valor > 100. Maximo observado: 129.8%
P09,irca,"Valores negativos del IRCA. El indice esta definido en la Resolucion 2115 de 2007 sobre la escala 0-100, de modo que un valor negativo no existe.",107,0.82%,Validez,,Alto,107 registros (0.82%) con irca < 0. Minimo observado: -4.95
P10,fecha,"Cuatro formatos de fecha conviviendo en la misma columna (YYYY-MM-DD, DD/MM/YYYY, MM-DD-YYYY y YYYY/MM/DD). Al convertir con pd.to_datetime se generan nulos, o peor, fechas mal interpretadas con el dia y el mes intercambiados, lo que desordena silenciosamente la serie temporal.",136,1.05%,Consistencia,,Alto,"136 registros (1.05%) incumplen el patron ^\d{4}-\d{2}-\d{2}$. Patrones detectados: {'9999/99/99': 49, '99/99/9999': 44, '99-99-9999': 43}"
P11,municipio,"Un mismo municipio aparece escrito de varias formas: en MAYUSCULAS, en minusculas, con espacios sobrantes al inicio o al final, y con la letra 'a' sustituida por '@'. Cada variante se cuenta como un municipio distinto, lo que fragmenta las agrupaciones territoriales e impide cruzar el dataset con cualquier otra fuente por nombre de municipio.",212,1.63%,Consistencia,Unicidad,Alto,"212 registros (1.63%) mal formateados. El dataset reporta 145 municipios unicos cuando en realidad existen 49. Ejemplos: 'CHIA', 'madrid', ' Sopo', 'M@drid'"
P12,irca / clasificacion_riesgo,La clasificacion de riesgo no corresponde al valor del IRCA segun los cortes de la Resolucion 2115 de 2007: la variable derivada contradice a la variable que la origina.,77,0.59%,Consistencia,Exactitud,Alto,77 registros (0.59%) donde la clasificacion recalculada difiere de la registrada. Ejemplo: irca = -4.38 etiquetado como 'Bajo riesgo (5-14)'
