id,variable_afectada,problema,registros_afectados,dimension_calidad,nivel_impacto,causa_raiz,causa_secundaria,mecanismo,evidencia_de_respaldo
P01,precipitacion_mm,"Celdas vacias en la precipitacion diaria. Impide construir acumulados de lluvia y correlacionarlos con el nivel de los embalses, que es el eje de la primera pregunta secundaria del proyecto.",765,Completitud,Medio,Errores de captura,Ausencia de validaciones,La estacion meteorologica no reporto la lamina de lluvia ese dia. La serie se consulta cruda desde DHIME y los dias sin transmision quedan como celda vacia en lugar de marcarse como dato no disponible.,"El 5,89% de faltantes se distribuye a lo largo de todo el periodo y no se concentra en ningun año ni municipio, patron propio de una falla intermitente de transmision y no de un vacio estructural."
P02,temperatura_c,"Celdas vacias en la temperatura promedio diaria, atribuibles a fallas de captacion de la estacion meteorologica.",534,Completitud,Bajo,Errores de captura,Ausencia de validaciones,"Mismo mecanismo que la precipitacion: interrupciones de la estacion hidrometeorologica. La temperatura y la precipitacion se toman del mismo instrumento, por lo que sus faltantes comparten origen.","4,11% de faltantes, tambien disperso en el periodo. Los faltantes de temperatura y precipitacion provienen de la misma fuente (IDEAM-DHIME)."
P03,irca,"Celdas vacias en el IRCA, que es la variable objetivo del analisis de calidad del agua. Sin IRCA el registro no puede clasificarse por nivel de riesgo ni usarse para comparar territorios.",405,Completitud,Alto,Errores de captura,Duplicidad de fuentes,"El IRCA solo existe si la autoridad sanitaria local tomo y reporto la muestra de agua ese periodo. En municipios pequenos el muestreo es irregular, de modo que la ausencia refleja una vigilancia sanitaria discontinua, no un error de procesamiento.","405 faltantes (3,12%). El SIVICAP depende del reporte voluntario de cada entidad territorial, con cobertura desigual entre municipios."
P04,sistema_abastecimiento,"El texto 'N/A' se almacena como si fuera una categoria valida. No corresponde a ningun sistema real: son los registros nacionales y globales ajenos a la red de la EAAB. Al contarlo, 'N/A' aparece como la categoria mas frecuente y distorsiona cualquier agrupacion por sistema.",5279,Completitud,Medio,Ausencia de validaciones,Formatos diferentes,"No se definio un marcador unico para el dato no aplicable. Los registros nacionales y globales no pertenecen a ningun sistema de la EAAB, y esa condicion se escribio como el texto 'N/A' dentro de la misma columna que guarda categorias reales, en vez de dejarse nula.","5.279 registros con el literal 'N/A' (40,64%), que value_counts() devuelve como la categoria mas frecuente de la variable."
P05,"departamento, latitud, longitud, nivel_servicio, decision_racionamiento, nivel_almacenamiento_pct, afluencias_m3s, consumo_m3s","Bloque de ocho variables vacias de forma simultanea en los mismos registros. Corresponden a las filas de tipo_region='Global', que describen paises y no tienen departamento, coordenadas municipales ni embalse asociado. Es una ausencia estructural del diseno, no un error de captura.",141,Completitud,Bajo,Formatos diferentes,Ausencia de validaciones,"Se forzo un unico esquema de 20 columnas para tres niveles de analisis que tienen atributos distintos. Un pais no tiene departamento ni embalse, de modo que ocho columnas quedan necesariamente vacias en esas filas.","Las ocho variables se vacian exactamente en los mismos 141 registros, que coinciden uno a uno con tipo_region='Global'. La simultaneidad perfecta descarta un fallo aleatorio de captura."
P06,tipo_region,"Completitud de alcance insuficiente en el nivel global: representa apenas el 1% de los registros frente al 59% del nivel regional. La comparacion entre las tres escalas, que es una de las preguntas secundarias, se apoya en una base muy desigual y sesga cualquier modelo hacia el comportamiento de la Sabana de Bogota.",141,Completitud,Medio,Duplicidad de fuentes,Falta de actualizacion,"La densidad de fuentes por escala es muy desigual. El nivel regional se alimenta de tres fuentes de frecuencia diaria y el global de tres fuentes de frecuencia anual, asi que el volumen resultante refleja la disponibilidad de las fuentes y no la importancia analitica de cada escala.","Regional 7.710 registros (59,36%), Nacional 5.138 (39,56%), Global 141 (1,09%). La proporcion reproduce la periodicidad de cada grupo de fuentes."
P07,Registro completo (las 20 variables),"Filas identicas repetidas. Inflan artificialmente los conteos por municipio y por fecha, y sesgan todo promedio calculado sobre el conjunto.",63,Unicidad,Alto,Duplicidad de fuentes,Ausencia de validaciones,La consolidacion se hizo anexando los archivos de las nueve fuentes sin declarar una llave unica ni ejecutar una deduplicacion posterior. Un mismo dia-municipio que aparece en dos fuentes queda escrito dos veces.,"63 filas identicas en las 20 columnas. La llave fecha+municipio+sistema arroja exactamente las mismas 63 colisiones, lo que confirma que la duplicidad es de fila completa y no de una coincidencia parcial."
P08,irca,"Valores negativos del IRCA. El indice esta definido en la Resolucion 2115 de 2007 sobre la escala 0-100, de modo que un valor negativo no existe.",107,Validez,Alto,Errores de captura,Ausencia de validaciones,"El IRCA esta definido entre 0 y 100 por la Resolucion 2115 de 2007. Un valor negativo solo puede originarse en un error de digitacion o en una resta mal aplicada durante el calculo del indice, y sobrevive porque no se valida el dominio normativo de la variable.","107 registros con IRCA entre -4,95 y -0,1. La magnitud pequena de los negativos sugiere un signo mal capturado antes que un valor inventado."
P09,fecha,"Cuatro formatos de fecha conviviendo en la misma columna (YYYY-MM-DD, DD/MM/YYYY, MM-DD-YYYY y YYYY/MM/DD). Al convertir con pd.to_datetime se generan nulos, o peor, fechas mal interpretadas con el dia y el mes intercambiados, lo que desordena silenciosamente la serie temporal.",136,Consistencia,Alto,Formatos diferentes,Ausencia de validaciones,"Cada fuente entrega la fecha en su propia convencion: ISO en las descargas CSV del IDEAM, DD/MM/YYYY en los boletines de la EAAB, y MM-DD-YYYY en las fuentes internacionales, que usan el orden anglosajon. Al consolidar sin homologar, los cuatro formatos conviven en una columna de texto.","136 registros no ISO, repartidos en tres patrones: YYYY/MM/DD (49), DD/MM/YYYY (44) y MM-DD-YYYY (43). El reparto casi equitativo apunta a tres origenes distintos, no a un error aislado."
P10,municipio,"Un mismo municipio aparece escrito de varias formas: en MAYUSCULAS, en minusculas, con espacios sobrantes al inicio o al final, y con la letra 'a' sustituida por '@'. Cada variante se cuenta como un municipio distinto, lo que fragmenta las agrupaciones territoriales e impide cruzar el dataset con cualquier otra fuente por nombre de municipio.",212,Consistencia,Alto,Formatos diferentes,Duplicidad de fuentes,"Cada fuente escribe el nombre del municipio a su manera: el DANE lo publica en mayusculas sostenidas, IDECA en formato titulo, y los boletines de la EAAB en texto libre con espacios de relleno. La sustitucion de 'a' por '@' es un artefacto de codificacion, tipico de un archivo leido con la codificacion equivocada o transcrito desde un PDF.","212 registros mal formateados en cuatro variantes: 46 en mayusculas, 47 en minusculas, 89 con espacios sobrantes y 30 con '@'. El dataset reporta 145 municipios unicos cuando en realidad existen 49."
P11,irca / clasificacion_riesgo,La clasificacion de riesgo no corresponde al valor del IRCA segun los cortes de la Resolucion 2115 de 2007: la variable derivada contradice a la variable que la origina.,77,Consistencia,Alto,Ausencia de validaciones,Errores de captura,"clasificacion_riesgo se almaceno como texto independiente en vez de derivarse por regla desde el IRCA. Sin una restriccion que ligue las dos columnas, cada una puede modificarse por separado y quedar contradictoria.","77 registros donde la clasificacion recalculada difiere de la registrada. Todos los casos revisados tienen IRCA negativo, lo que indica que la etiqueta se asigno antes de que el valor se corrompiera."
P12,clasificacion_riesgo,"Registros con clasificacion de riesgo pero sin el IRCA que la sustenta. La etiqueta existe sin el dato de origen, por lo que no es verificable ni reproducible.",265,Consistencia,Medio,Ausencia de validaciones,Errores de captura,"Mismo origen que el anterior: la variable derivada y su variable de origen no estan ligadas. Aqui el IRCA se perdio o se borro despues de calcular la etiqueta, y nada obliga a que ambas existan o falten juntas.","265 registros con clasificacion_riesgo diligenciada e IRCA vacio. En sentido contrario solo hay 1 caso, asimetria que confirma que la etiqueta se calculo primero y el valor se perdio despues."
P13,municipio,"La columna mezcla dos niveles geograficos distintos: contiene municipios colombianos y tambien nombres de paises (Colombia, India, USA) en los registros de nivel global. Un mismo campo representa dos entidades diferentes, lo que impide unir la tabla consigo misma por territorio.",141,Consistencia,Medio,Formatos diferentes,Ausencia de validaciones,"Al forzar un esquema unico para las tres escalas, la columna 'municipio' se reutilizo para guardar el nombre del pais en las filas globales, porque no se creo una variable de territorio independiente del nivel geografico.","141 registros de tipo_region='Global' donde 'municipio' contiene paises (Colombia, India, USA, Alemania). Coinciden exactamente con las filas que tienen departamento vacio."
P14,cobertura_acueducto_pct,"La variable cambia de significado segun la fila: en los registros municipales es el porcentaje de cobertura de acueducto, y en los globales es el porcentaje de poblacion con acceso a agua potable segura (indicador ODS 6.1). Promediar la columna completa mezcla dos indicadores distintos.",141,Consistencia,Medio,Formatos diferentes,Ausencia de validaciones,"Dos indicadores distintos se cargaron bajo el mismo nombre de columna: el porcentaje de cobertura de acueducto que reporta el SUI para municipios, y el porcentaje de poblacion con acceso a agua potable segura del indicador ODS 6.1 que publica el JMP para paises. Se parecen, pero no miden lo mismo ni se calculan igual.","141 registros globales cuyo valor proviene del JMP frente a 12.848 municipales del SUI, todos bajo el rotulo cobertura_acueducto_pct."
P15,fecha (registros globales),Los registros globales son de periodicidad anual pero se les asigno la fecha ficticia 30 de junio para poder mezclarlos con los diarios. Esa fecha no corresponde a ninguna medicion real y no puede compararse contra las series diarias sin agregar primero.,141,Consistencia,Medio,Formatos diferentes,Duplicidad de fuentes,"Las fuentes globales publican una sola cifra anual por pais. Para integrarlas en un esquema disenado para registros diarios, se les asigno una fecha de relleno a mitad de año en lugar de conservar la granularidad original en una columna aparte.","Los 141 registros globales se concentran en 7 fechas, todas 30 de junio, una por cada año del periodo 2019-2025."
